movie_id,title,overview,genres,keyword,price
1,LG dual screen phone,1st mobile with dual rotating screen in the world with 60Hz refresh rate,LG phone,phone screen refresh rate LG,100000
2,Sony camera 0087,Sony 32 lens camera suitable for beginner,Sony camera,camera lens sony,70000
3,Cannon EOS 80D DSLR Camera,"Characterized by versatile imaging specs, the Canon EOS 80D further clarifies itself using a pair of robust focusing systems and an intuitive design",Cannon camera,camera lens canon,110000
4,Amazon Echo Dot 1st Generation,"The ultimate home entertainment center starts with Alexa. Whether you are into gaming, HD movies, television, music",Amazon AI, AI alexa amazon,45000
5,Logitech G-Series Gaming Mouse,Get a better handle on your games with this Logitech LIGHTSYNC gaming mouse. The six programmable buttons allow customization for a smooth playing experience,Lojitech electronic, mouse electronic,900
6,Amazon Echo Dot 3rd Generation,"The ultimate home entertainment center starts with Alexa. Whether you are into gaming, HD movies, television, music",Amazon AI, AI alexa amazon,7200
7,Apple Airpods  gen2 Wireless Headphones,Bluetooth technology lets you connect it with compatible devices wirelessly High-quality AAC audio offers immersive listening experience Built-in microphone allows you to take calls while working,Apple earphone,earphone wireless apple,25000
8,iPhone 12 Pro 128GB Memory,Introducing the iPhone 12 Pro. A transformative triple-camera system that adds tons of capability without complexity. An unprecedented leap in battery life,Apple phone,phone screen refresh rate apple,110000
9,Sony Playstation 3 White Version,"The ultimate home entertainment center starts with PlayStation. Whether you are into gaming, HD movies, television, music",Sony game,playstation sony game,45000
10,Samsung galaxy s22 ultraphone , It comes with the popular Samsung Qualcomm Snapdragon 888 processor.,Samsung phone,phone screen refresh rate samsung,90000
11,iPhone 11 Pro 256GB Memory,Introducing the iPhone 11 Pro. A transformative triple-camera system that adds tons of capability without complexity. An unprecedented leap,Apple phone,phone screen refresh rate apple,120000
12,Apple air pod wireless earphone generation 3,best wireless earphone in the market.,Apple earphone,earphone wireless apple,35000
